"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC00018;EC00019;EC00014;EC000153;EC000200;EC000597;EC000598;EC000599;EC000484;EC000485;EC000486;EC000354;EC000149;EC000150;EC00025;EC00026;EC000323;EC000183;EC000184;EC00023;EC00024;EC000211;EC000367
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC00014;EC00055;EC00056;EC000625;EC000626;EC000627;EC00033;EC00059;EC00060;EC00061;EC000255;EC00013;EC000119;EC000628;EC000629;EC000198;EC00022
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC000380;EC000381;EC000382;EC000968;EC000400;EC000401;EC000402;EC000403;EC000404;EC000405;EC000245;EC000246;EC000817;EC000818;EC000815;EC000816;EC000814
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC00078;EC00079;EC000114
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC000365;EC00029;EC00052;EC00053;EC00054;EC00020;EC00047
"Linoleate metabolism",36,36,0.01752,0.1689,1.537,EC00084;EC00085;EC00086;EC00087;EC00021;EC000308;EC000309;EC000310;EC00047;EC00015;EC00016;EC00017;EC00014;EC00020;EC000108;EC000654
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC00020;EC00029;EC000664;EC000665;EC000115;EC000237;EC00078;EC00079
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC00015;EC00016;EC00017;EC000212;EC000213
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC000240;EC00084;EC00085;EC00086;EC00087;EC000108;EC00093;EC00015;EC00016;EC00017;EC00021;EC000220;EC000221;EC000222;EC000117
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC000654;EC00078;EC00079;EC000563;EC00020;EC00047;EC00033;EC000116;EC00063;EC000624;EC00029;EC000359
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC00020;EC000114;EC00030;EC00078;EC00079;EC00065;EC00066;EC00067
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC00014;EC000384;EC000385
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC00018;EC000979;EC000980;EC000854;EC000855;EC000546;EC000978;EC000977
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC00072;EC000851;EC000852;EC000853;EC000531;EC000971;EC000956;EC000845;EC000846;EC000847;EC000873;EC000874;EC000875;EC000547;EC000716;EC000876;EC00034;EC00035;EC000747;EC000748;EC000749;EC000745;EC000746;EC000849;EC000919;EC000920;EC000553;EC000681;EC000682;EC000683;EC000384;EC000385;EC000387;EC000388;EC000389;EC000390
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC00020;EC000157;EC00047;EC00075;EC00094;EC000293;EC000163
"CoA Catabolism",3,3,0.03403,0.3006,-1.583,EC00014
